행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
창조지역사업 동아리 한마당,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-12-17,2018-12-17,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,450,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
브라소닛 빅밴드 Bmk콘서트 공연,금산다락원 생명의집,BMK+브라스 콘서트 공연,2018-12-20,2018-12-20,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,714,10000,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
김동규 어느 멋진 날에 공연,금산다락원 생명의집,성악가 김동규+팝스오케스트라와 함께하는 신나는 클래식 여행,2019-03-08,2019-03-08,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,10000,7세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
사랑 동행음악회,금산다락원 생명의집,최성수+신효범 등 1990년대를 대표하는 대중가수의 공연,2019-04-26,2019-04-26,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,15000,7세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
군산시립교향악단 제74회 특별기획연주회,군산예술의전당 대공연장,클래식,2024-10-04,2024-10-04,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립합창단 제78회 기획연주회,군산예술의전당 대공연장,클래식,2024-10-17,2024-10-17,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
"고군산군도 선유도령, 장자아씨",군산예술의전당 소공연장,뮤지컬,2024-10-23,2024-10-23,19:00,20:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5536,,,,전연령관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
2024Theater 이문세 전국 콘서트,군산예술의전당 대공연장,콘서트,2024-10-24,2024-10-25,19:30,19:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5536,,,R석170000원/S석130000원,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
트래블 콘서트 바다가 보이는 마을,군산예술의전당 대공연장,클래식,2024-10-30,2024-10-30,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립교향악단 제75회 특별기획연주회,군산예술의전당 대공연장,클래식,2024-11-07,2024-11-07,19:30,21:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,전석 5000원,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
북극곰 로라,군산예술의전당 소공연장,뮤지컬,2024-11-09,2024-11-09,11:00,15:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,전석 10000원,36개월이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립합창단 제118회 정기연주회,군산예술의전당 대공연장,클래식,2024-11-14,2024-11-14,19:30,21:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,전석 5000원,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
젠틀맨스 가이드,군산예술의전당 소공연장,뮤지컬,2024-11-29,2024-11-30,19:30,21:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,VIP석 150000원 /R석130000원/A석90000원,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
잘츠부르크 오케스트라 솔리스텐 공연,금산다락원 생명의집,유럽지역의 주요 솔로연주자들로 구성된 초일류 챔버오케스트라 공연,2018-03-08,2018-03-08,19:30,21:30,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,5000,8세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
관현악공연,금산다락원 생명의집,다이나믹한 관현악단과 대중음악의 조화,2018-03-22,2018-03-22,14:00,16:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
넌버벌 코미디 옹알스공연,금산다락원 생명의집,대사가 없는 즉흥 퍼포먼스 개그,2018-05-30,2018-05-30,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,10000,전체관람가,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
죽고싶지않아 공연,금산다락원 생명의집,"삶의 생기를 잃어가는 청소년들에게 꿈과 희망, 생명의 소중함을 일깨우는 뮤지컬",2018-07-12,2018-07-13,14:00,21:00,무료,한국문화예술회관연합회+충청남도 금산군청+금산다락원,한국문화예술회관연합회+충청남도 금산군청+금산다락원,041-750-4424,복권위원회+문화체육관광부,727,,14세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
뮤지컬 위대한캣츠비 공연,금산다락원 생명의집,청춘의 사랑과 배신 아픔을 이야기하는 로맨스 뮤지컬,2018-08-24,2018-08-24,14:00,21:00,유료,한국문화예술회관연합회+충청남도 금산군청+금산다락원,한국문화예술회관연합회+충청남도 금산군청+금산다락원,041-750-4424,복권위원회+문화체육관광부,727,5000,13세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
뮤지컬 팅커벨의 백설공주 아기돼지삼형제공연,금산다락원 생명의집,동화를 각색하여 만든 어린이 뮤지컬,2018-09-19,2018-09-20,10:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,727,1000,5세이상,,,http://www.geumsan.go.kr/daragwon/,https://daragwon.moonhwain.net:451/rsvp/login.html?goUrl=/rsvp/mypage.html,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-02-03,4550000,충청남도 금산군
이명근 지휘자와 함께하는 하우스 캔들콘서트Ｉ-캔들시네마,군산예술의전당 대공연장,클래식,2024-06-20,2024-06-20,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
트래블 콘서트 탱고의도시 브에노스아이레스,군산예술의전당 대공연장,클래식,2024-06-26,2024-06-26,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
착한광대 환생프로젝트 환생전,군산예술의전당 대공연장,국악,2024-06-29,2024-06-29,15:00,16:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립합창단 제77회 기획연주회,군산예술의전당 대공연장,클래식,2024-07-04,2024-07-04,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
반쪽이 상상력 박물관전,"군산예술의전당 2,3전시실",체험전시,2024-07-12,2024-08-25,10:00,17:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,전연령관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립교향악단 제157회 정기연주회,군산예술의전당 대공연장,클래식,2024-07-18,2024-07-18,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
어린이 뮤지컬 장수탕 선녀님,군산예술의전당 대공연장,뮤지컬,2024-07-27,2024-07-28,11:00,17:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,R석30000원/S석20000원,24개월이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
트래블 콘서트 부다페스트의 밤,군산예술의전당 대공연장,클래식,2024-07-31,2024-07-31,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
이명근 지휘자와 함께하는 하우스 캔들콘서트Ⅱ-캔들클래식,군산예술의전당 대공연장,클래식,2024-08-20,2024-08-20,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
토리를 찾아서 얼씨구,군산예술의전당 대공연장,국악,2024-08-24,2024-08-24,15:00,16:30,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
트래블 콘서트 LALA LAND,군산예술의전당 대공연장,클래식,2024-08-28,2024-08-28,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립합창단 제117회 정기연주회,군산예술의전당 대공연장,클래식,2024-08-29,2024-08-29,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
뮤지컬 아가사,군산예술의전당 대공연장,뮤지컬,2024-09-07,2024-09-07,14:00,20:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
군산시립교향악단 제158회 정기연주회,군산예술의전당 대공연장,클래식,2024-09-12,2024-09-12,19:30,21:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
쎄시봉 콘서트,군산예술의전당 대공연장,콘서트,2024-09-21,2024-09-21,19:00,21:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5528,,,R석30000원/S석20000원,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
벨 헤이는 밤,군산예술의전당 대공연장,국악,2024-09-28,2024-09-28,15:00,16:00,유료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,전석 10000,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
새만금아카데미,군산예술의전당 소공연장,클래식,2024-09-26,2024-09-26,19:00,20:00,무료,군산예술의전당,전북특별자치도 군산시청,063-454-5535,,,,초등생이상관람가,,,https://www.gunsan.go.kr/arts,http://www.ticketlink.co.kr/,Y,전북특별자치도 군산시 백토로 203,전북특별자치도 군산시 지곡동 278,35.96078244,126.7070385,2025-01-20,4671000,전북특별자치도 군산시
제500회 기념 기획공연,연수아트홀,금요예술무대,2025-05-30,2025-05-30,19:00,21:00,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
구립여성합창단 정기공연,연수아트홀,금요예술무대,2025-06-13,2025-06-13,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
연수구민을 위한 라·탱·스 콘서트,연수아트홀,금요예술무대,2025-06-27,2025-06-27,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
연수구립관악단 정기공연,연수아트홀,금요예술무대,2025-07-11,2025-07-11,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
기타 &  Beats 클래식과 트랜드를 잇다,연수아트홀,금요예술무대,2025-07-25,2025-07-25,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
한여름 밤의 《아이스 심포니》,연수구청 1층 로비,금요예술무대,2025-08-08,2025-08-08,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
어린이 창작뮤지컬 깃털피리,연수아트홀,금요예술무대,2025-08-22,2025-08-22,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
금요영화마당,연수구청 1층 로비,금요예술무대,2025-09-12,2025-09-12,19:00,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
금요영화마당,연수구청 1층 로비,금요예술무대,2025-09-26,2025-09-26,19:00,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
구립소년소녀합창단 정기공연,연수아트홀,금요예술무대,2025-11-14,2025-11-14,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
연수구립전통예술단 정기공연,연수아트홀,금요예술무대,2025-11-28,2025-11-28,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
연수구립관악단 정기공연,연수아트홀,금요예술무대,2025-12-12,2025-12-12,19:30,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
송년음악회(예정),미정,금요예술무대,2025-12-26,2025-12-26,19:00,20:30,무료,인천광역시 연수구청 문화관광과,인천광역시 연수구청 문화관광과,032-749-7292,,,,,,,,, ,인천광역시 연수구 원인재로 115,인천광역시 연수구 동춘동 923-5,37.40949381,126.6783379,2025-03-13,3520000,인천광역시 연수구
