축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
이주민 문화다양성 축제(MAMF),용지문화공원,2024-10-11,2024-10-13,"다문화 퍼레이드, 아시아팝뮤직페스티벌 등",MAMF추진위원회,경남이주민노동복지센터,,,,,경상남도 창원시 의창구 사화로18번길 30,,35.25483528,128.6076694,2025-02-14,5670000,경상남도 창원시
제14회 미르어울림축제,팔룡어울림운동장,2024-10-18,2024-10-18,개막식+문화예술공연,팔룡동축제위원회,경상남도 창원시,,,,,경상남도 창원시 의창구 사화로 126,,35.25130697,128.6190604,2025-02-14,5670000,경상남도 창원시
마곡사 신록축제,사곡면 운암리 마곡사일원,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,마곡사신록축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,2022-11-21,4500000,충청남도 공주시
제68회 백제문화제,금강신관공원,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화선양위원회,백제문화제추진위원회,,041-840-8112,https://www.baekje.org/kor/,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,2022-11-21,4500000,충청남도 공주시
제5회 겨울공주 군밤축제,온라인,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,겨울공주 군밤축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,2022-11-21,4500000,충청남도 공주시
제1회 유구색동수국정원 꽃축제,유구색동수국정원,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,공주시,,041-840-8111,,,,충청남도 공주시 유구읍 유구리 648-17,36.5555032985,126.9543952096,2022-11-21,4500000,충청남도 공주시
제10회 느티마을 한마당 축제,화양동 느티나무 공원 및 구 화양초등학교 운동장,2023-09-23,2023-09-23,느티나무 기원제+ 주민화합한마당+ 화양 힐링 한마당+ 주민자치프로그램 발표 등,화양동 문화행사위원회,화양동 문화행사위원회,서울특별시 광진구,02-450-1845,,,서울특별시 광진구 군자로 9(화양동),서울특별시 광진구 화양동 12-2+서울특별시 광진구 화양동 110-62,,,2024-11-07,3040000,서울특별시 광진구
광진구민과 함께하는 숲나루 콘서트,광진 숲나루,2023-09-23,2023-09-23,광진윈드오케스트라공연,서울특별시 광진구,서울특별시 광진구,,02-450-7597,,,,서울특별시 광진구 구의동 175-1,,,2024-11-07,3040000,서울특별시 광진구
2023 광진가족영화제,어린이대공원 구의문 잔디광장,2023-09-24,2023-09-24,버스킹공연+ 캐리커처+ 타투스티커+ 영화상영,서울특별시 광진구,서울특별시 광진구,,02-450-7597,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
제9회 긴고랑 한마음 축제,긴고랑체육공원,2023-10-05,2023-10-05,자치회관 프로그램 발표+ 주민 노래자랑+ 먹거리장터+ 체험 부스 운영 등,중곡4동 문화행사위원회,중곡4동 문화행사위원회,서울특별시 광진구,02-450-1072,,,서울특별시 광진구 긴고랑로 143 긴고랑어린이공원,서울특별시 광진구 중곡동 68-19,,,2024-11-07,3040000,서울특별시 광진구
광진구민과 함께하는 심포니 콘서트,나루아트센터 대공연장,2023-10-07,2023-10-07,광진심포니오케스트라공연,서울특별시 광진구,서울특별시 광진구,,02-450-7597,,,서울특별시 광진구 능동로 76,서울특별시 광진구 자양동 227-344,,,2024-11-07,3040000,서울특별시 광진구
제7회 구삼축제 한마당,구의공원,2023-10-13,2023-10-13,시니어패션쇼+ 자치회관 프로그램 발표+ 주민 노래자랑+ 체험 부스 운영 등,구의3동 문화행사위원회,구의3동 문화행사위원회,서울특별시 광진구,02-450-1242,,,서울특별시 광진구 광나루로56길 86,서울특별시 광진구 구의동 546-2,,,2024-11-07,3040000,서울특별시 광진구
제2회 숲나루 꿈의 축제,광진숲나루,2023-10-14,2023-10-14,주민노래자랑+ 초대가수 공연+ 저글링 등 공연,구의2동 문화행사위원회,구의2동 문화행사위원회,서울특별시 광진구,02-450-1222,,,,서울특별시 광진구 구의동 175-1,,,2024-11-07,3040000,서울특별시 광진구
자양4동 주민 소통한마당 축제,신양중학교 운동장,2023-10-14,2023-10-14,단체게임+ 노래자랑+ 초청공연,자양4동 문화행사위원회,자양4동 문화행사위원회,서울특별시 광진구,02-450-1824,,,서울특별시 광진구 자양강변길 73,서울특별시 광진구 자양동 57-163,,,2024-11-07,3040000,서울특별시 광진구
주민과 함께하는 제3회 이랴이랴 자신만만 축제,자마장공원,2023-10-21,2023-10-21,초대가수 축하 공연,자양1동 문화행사위원회,자양1동 문화행사위원회,서울특별시 광진구,02-450-1282,,,서울특별시 광진구 자양로13길 41,서울특별시 광진구 자양동 630,,,2024-11-07,3040000,서울특별시 광진구
제7회 자양뚝방길 가을음악회,광양중학교 강당,2023-10-21,2023-10-21,태권도시범단공연+ 주민노래자랑+ 초대가수 공연,자양2동 문화행사위원회,자양2동 문화행사위원회,서울특별시 광진구,02-450-1602,,,서울특별시 광진구 자양로3길 7,서울특별시 광진구 자양동 674,,,2024-11-07,3040000,서울특별시 광진구
2023 행복나눔 구일 마을문화 축제,구의1동 주민센터 대강당,2023-10-26,2023-10-26,동대부여고 동아리(합창+ 댄스) 발표+ 어린이 태권도 시범실버합창단 및 초대가수 공연+ 자치회관 발표,구의1동 문화행사위원회,구의1동 문화행사위원회,서울특별시 광진구,02-450-5142,,,서울특별시 광진구 광나루로36길 56,서울특별시 광진구 구의동 237-6,,,2024-11-07,3040000,서울특별시 광진구
2023 제6회 능동 감마을 축제,어린이대공원 서문일대,2023-10-27,2023-10-27,감따기+ 감 껍질 길게 깎기+ 초청가수 공연,능동 문화행사위원회,능동 문화행사위원회,서울특별시 광진구,02-450-1122,,,서울특별시 광진구 능동로 238,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
광장동 주민한마당 광나루 해오름축제,광진숲나루,2023-10-28,2023-10-28,어린이공연+ 축하공연(팝페라가수+ K-POP댄스+ 전자현악기),광장동 문화행사위원회,광장동 문화행사위원회,서울특별시 광진구,02-450-1263,,,,서울특별시 광진구 구의동 175-1,,,2024-11-07,3040000,서울특별시 광진구
2024 아차산 해맞이 축제,아차산 어울림 광장,2024-01-01,2024-01-01,새해덕담+ 타북공연+ 팝페라공연+ 일출감상,서울특별시 광진구,서울특별시 광진구,,02-450-7596,,,서울특별시 광진구 워커힐로 127,서울특별시 광진구 광장동 5-117,,,2024-11-07,3040000,서울특별시 광진구
제6회 명품한강 장미축제,자양3동 현대6차~8차 아파트사이,2024-05-18,2024-05-18,장미를 테마로 한 자양3동 주민이 화합하여 만드는 마을축제,자양3동 문화행사위원회,자양3동문화행사위원회,서울특별시 광진구,02-450-1803,,,서울특별시 광진구 자양번영로3길 66(자양동),서울특별시 광진구 자양동 786,,,2024-11-07,3040000,서울특별시 광진구
2024 광진가족페스티벌,어린이대공원 구의문 잔디광장,2024-05-25,2024-05-25,"구민의날 기념식+가족백일장 및 그림그리기 대회+가족영화제+공연(청소년합창단, 마술공연 등)+부대행사(캐리커처+캘리그라피+포토부스 등)",서울특별시 광진구,서울특별시 광진구,,02-450-7596,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2024 제1회 광진가족 영화제,어린이대공원 구의문 잔디광장,2024-05-25,2024-05-25,버스킹공연+ 캐리커처+ 타투스티커+ 영화상영,서울특별시 광진구,서울특별시 광진구,,02-450-7623,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2024 제2회 광진가족 영화제,어린이대공원 구의문 잔디광장,2024-09-07,2024-09-07,버스킹공연+ 캐리커처+ 타투스티커+ 영화상영,서울특별시 광진구,서울특별시 광진구,,02-450-7623,,,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,,,2024-11-07,3040000,서울특별시 광진구
2022 하영올레 걷기 축제,하영올레 코스,2022-03-25,2022-03-27,일자별 코스 걷기+길 위의 이벤트 등,제주특별자치도 서귀포시,제주특별자치도 서귀포시,,064-760-2655,,,제주특별자치도 서귀포시 중앙로 105,제주특별자치도 서귀포시 서홍동 440-1,33.254204,126.560218,2024-11-07,6520000,제주특별자치도 서귀포시
제24회 서귀포유채꽃국제걷기대회,제주월드컵경기장일원,2022-03-26,2022-03-27,코로나19로 지친 몸과 마음을 달랠 수 있는 유채꽃 걷기 대회,(사)서귀포시관광협의회,제주특별자치도 서귀포시+(사)한국체육진흥회,,064-760-3320,https://cafe.daum.net/seogwipo-walking,,제주특별자치도 서귀포시 월드컵로 33,,33.246219,126.509275,2024-11-07,6520000,제주특별자치도 서귀포시
제39회 제주유채꽃축제,온라인 개최,2022-04-08,2022-04-10,가시리 명소탐방+유채꽃 버스킹,제주유채꽃축제조직위원회,제주특별자치도 서귀포시,,064-760-3942,http://www.seogwipo.go.kr/festivals/uchae/index.htm,,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.383096,126.736285,2024-11-07,6520000,제주특별자치도 서귀포시
제26회 한라산 청정 고사리 축제,남원읍 일원 (비대면 개최),2022-04-23,2022-04-24,세계 7대 자연경관 유네스코 지정 세계자연유산 3관왕에 빛나는 대한민국 관광 일번지 제주를 걷고 보고 만지고 느끼는 축제입니다. 서귀포시 공식 유튜브 채널을 통해 온라인으로 만날 수 있습니다.,남원읍 축제위원회,남원읍사무소,,064-760-4181,http://www.jejugosari.net/,,제주특별자치도 서귀포시 남원읍 태위로 695,제주특별자치도 서귀포시 남원읍 남원리 205-1,33.279896,126.720677,2024-11-07,6520000,제주특별자치도 서귀포시
제11회 서귀포 봄맞이축제,이중섭공원,2022-06-11,2022-06-11,원도심 노지문화 마을산책+진달래꽃 화전놀이 체험 등,서귀포시문화도시센터+서귀포봄맞이축제조직위원회,문화체육관광부+제주특별자치도 서귀포시,,064-733-2345,http://nojiculture.kr,,제주특별자치도 서귀포시 이중섭로 27-3,제주특별자치도 서귀포시 서귀동 532-1,33.24586163,126.564874,2024-11-07,6520000,제주특별자치도 서귀포시
제1회 성산조개바당축제,성산읍 내수면 모래갯벌,2022-07-15,2022-07-16,조개잡기 체험+수상레저 체험,성산읍사무소,성산읍사무소,,064-760-2682,https://www.instagram.com/seongsan_ssf,,,제주특별자치도 서귀포시 성산읍 고성리 263,33.455332,126.925521,2024-11-07,6520000,제주특별자치도 서귀포시
제3회 서귀포 은갈치축제,서귀포항 동부두 일원,2022-09-30,2022-10-02,선상낚시체험+수산물 요리 교실+새벽 경매장 체험,서귀포은갈치축제위원회,서귀포수산업협동조합,제주특별자치도청+수협중앙회,064-733-3501,http://xn--w39ap6a120byyfq5af5t8kbl1x.kr/index.php,,제주특별자치도 서귀포시 칠십리로72번길 18,제주특별자치도 서귀포시 서귀동 758-1,33.2399956,126.5664732,2024-11-07,6520000,제주특별자치도 서귀포시
진주 남강유등축제,진주성+진주남강일원,2025-10-03,2025-10-19,진주성+진주남강 유등전시+소망등 달기+추억의 유등띄우기+등만들기체험 등,진주남강유등축제제전위원회,경상남도 진주시청+진주문화예술재단,문화체육관광부+경상남도청+한국관광공사+경상남도교육청+언론기관,055-761-9111,http://www.yudeung.com,,경상남도 진주시 강남로 287,경상남도 진주시 강남동 60-5,35.18793389,128.0858237,2025-02-25,B551011,한국관광공사
김수환추기경 사랑과 나눔 문화축전,김수환추기경 사랑과 나눔공원 일원,2025-05-17,2025-05-17,김수환추기경 문화축전,매일신문사,매일신문사,대구광역시청+대구광역시 군위군청,054-380-6065,,,대구광역시 군위군 군위읍 군위금성로 270,대구광역시 군위군 군위읍 용대리 산 66-5,36.2324489,128.5996129,2025-03-11,5141000,대구광역시 군위군
제6회 연제고분판타지축제,온천천시민공원 및 연산동 고분군,2025-03-28,2025-03-30,역사문화행사,연제구축제추진위원회,부산광역시 연제구,,051-665-4065,,,,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826,2025-03-11,3370000,부산광역시 연제구
자유공원 벚꽃축제,자유공원 광장,2025-04-05,2025-04-05,봄꽃음악회+포토존 및 체험프로그램,(재)인천중구문화재단,(재)인천중구문화재단,,070-4123-8949,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길 46,,,,2025-03-10,3490000,인천광역시 중구
2025 자유공원&동인천 고고축제,자유공원+인천학생교육문화회관+삼치거리 일대,2025-05-17,2025-05-18,퍼레이드+고고 콘서트+랜덤플레이댄스+인천고교경연대회+포토존+추억의 놀이공간 등,인천광역시 중구청,인천광역시 중구청,,032-760-6443,https://www.icjg.go.kr,,인천광역시 중구 신포로27번길 80,,,,2025-03-10,3490000,인천광역시 중구
2025 인천개항장 국가유산 야행(1차),개항장 문화지구,2025-06-14,2025-06-15,문화유산 야간 무료개방+도보탐방+근대문화체험+야관경관조성,인천관광공사,국가유산청+인천광역시 중구청,인천광역시,032-760-6472,https://www.icjg.go.kr,,인천광역시 중구 신포로27번길 80,,,,2025-03-10,3490000,인천광역시 중구
2025 인천개항장 국가유산 야행(2차),개항장 문화지구,2025-09-20,2025-09-21,문화유산 야간 무료개방+도보탐방+근대문화체험+야관경관조성,인천관광공사,국가유산청+인천광역시 중구청,인천광역시,032-760-6472,https://www.icjg.go.kr,,인천광역시 중구 신포로27번길 80,,,,2025-03-10,3490000,인천광역시 중구
크리스마스 트리 축제,신포문화의 거리+신흥사거리,2025-11-01,2026-01-31,트리+포토존 등 경관조성 및 야간 상시전시 운영+점등식 및 축하공연,(재)인천중구문화재단,(재)인천중구문화재단,,070-4123-8949,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길 46,,,,2025-03-10,3490000,인천광역시 중구
크리스마스 트리 축제,하늘도시 별빛광장+운서역+외국인 특화거리,2025-11-01,2026-01-31,트리+포토존 등 경관조성 및 야간 상시전시 운영+점등식 및 축하공연,(재)인천중구문화재단,(재)인천중구문화재단,,070-4123-8949,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길 46,,,,2025-03-10,3490000,인천광역시 중구
영종국제도시 빛축제,하늘도시 초입,2025-11-01,2026-01-31,포토존 등 경관조성 및 야간 상시전시 운영+점등식 및 축하공연,(재)인천중구문화재단,(재)인천중구문화재단,,070-4123-8949,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길 46,,,,2025-03-10,3490000,인천광역시 중구
그루브인관악 페스티벌,별빛내린천,2022-07-16,2022-07-17,"모든 장르의 스트릿 댄스 배틀과 함께 플리마켓, 전시 등 다양한 스트릿 문화를 별빛내린천에서 만날 수 있는 문화축제",관악문화재단+서울자치구문화재단연합회,서울특별시 관악구청,서울문화재단,02-828-5763,https://gfac.or.kr/,,서울특별시 관악구 신원로 35,서울특별시 관악구 신림동 1638-1,37.48231224,126.9290234,2025-03-10,3200000,서울특별시 관악구
2022 관악강감찬축제,낙성대공원,2022-10-14,2022-10-16,강감찬 장군 출병식 및 전승행렬 거리 퍼레이드+고려마을 테마 체험부스+강감찬 장군 추모제향 등 다채로운 행사 진행,관악문화재단,서울특별시 관악구청,문화체육관광부+서울특별시청,02-828-5762,https://ggcfest.com/,,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 228,37.47197208,126.959371,2025-03-10,3200000,서울특별시 관악구
2022 어린이동화페스티벌,관악문화재단 어린이라운지,2022-11-12,2022-11-12,"소방관마술쇼, 동화구연  및 인형극등 다양한 어린이 전문 프로그램 운영",관악문화재단,관악문화재단,서울특별시 관악구청,02-828-5829,https://lib.gwanak.go.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448855,2025-03-10,3200000,서울특별시 관악구
2023계룡軍문화축제,충남 계룡시일원(계룡대 활주로 및 시가지),2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등",(재)계룡시문화관광재단,충청남도 계룡시,국방부 등,042-840-2623,http://m-festival.org/,군(軍)문화로 통(通)하는 YES 계룡,,충남 계룡시 신도안면 석계리 76,,,2023-08-28,5580000,충청남도 계룡시
2023하동세계차엑스포,경상남도 하동군 적량면 하동스포츠파크+하동군 화개면 하동야생차문화축제장,2023-05-04,2023-06-03,전시+교역+이벤트+체험+교육+여가+관광(다원+다실 등),(재)하동세계차엑스포조직위원회,경상남도청+경상남도 하동군청,문화체육관광부+중소벤처기업부+농촌진흥청+한국관광공사+대한무역투자진흥공사+중소벤처기업진흥공단,055-880-7023,https://www.hadongt.co.kr/,,경상남도 하동군 적량면 공설운동장로 207 일원+경상남도 하동군 화개면 쌍계로 571-25,,,,2024-11-14,5440000,경상남도 하동군
2023년 스물세번째 토지문학제,경상남도 하동군 악양면 최참판댁,2023-05-05,2023-05-07,문학제+교육+체험+경연+대회+토론,토지문학제운영위원회,토지문학제운영위원회,경상남도 하동군청,055-882-2675,https://www.hadong.go.kr/02641/02652/02816.web,,경상남도 하동군 악양면 평사리길 66-7,,,,2024-11-14,5440000,경상남도 하동군
제9회 하동북천꽃양귀비축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2023-05-19,2023-05-22,꽃축제+전시+대회+공연,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-2416,https://www.hadong.go.kr/02641/02652/02810.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군
제7회 하동섬진강문화재첩축제,경상남도 하동읍 송림공원 및 섬진강변 일원,2023-08-04,2023-08-06,먹거리축제+체험+공연+대회+판매,(사)하동섬진강문화재첩축제추진위원회,(사)하동섬진강문화재첩축제추진위원회,,055-880-2450,https://www.hadong.go.kr/02641/02652/02812.web,,경상남도 하동군 하동읍 섬진강대로 2107-8,,,,2024-11-14,5440000,경상남도 하동군
제10회 술상전어축제,경상남도 하동군 진교면 술상항 일원,2023-08-11,2023-08-13,먹거리축제+판매+공연+체험,진교면 술상어촌계,진교면 술상어촌계,경상남도+경상남도 하동군청+하동군 수협,055-884-3656,https://www.hadong.go.kr/02641/02652/02813.web,,경상남도 하동군 진교면 술상길 195,,,,2024-11-14,5440000,경상남도 하동군
제7회 하동북천코스모스메밀꽃축제,경상남도 하동군 북천면 직전리 꽃단지 일원,2023-09-27,2023-10-09,꽃축제+전시+공연+판매,하동북천코스모스메밀꽃 영농조합법인,하동북천코스모스메밀꽃 영농조합법인,,055-884-7416,https://www.hadong.go.kr/02641/02652/02814.web,,경상남도 하동군 북천면 경서대로 2446-6,,,,2024-11-14,5440000,경상남도 하동군
2023년 이병주하동국제문학제,경상남도 하동군 북천면 이병주문학관,2023-10-07,2023-10-07,문학제+경연,이병주하동국제문학제 조직위원회,(사)이병주기념사업회+국제신문,,055-882-2354,https://www.hadong.go.kr/02641/02652/02815.web,,경상남도 하동군 북천면 이명골길 14-28,,,,2024-11-14,5440000,경상남도 하동군
2023 별천지하동 적량김치축제,경상남도 하동군 적량면 문화복지센터,2023-12-09,2023-12-09,먹거리축제+판매+공연+체험,적량면 문화복지센터 운영위원회,적량면 문화복지센터 운영위원회,,055-880-6121,https://www.hadong.go.kr/02641/02652/03325.web,,경상남도 하동군 적량면 대티길 44-22,,,,2024-11-14,5440000,경상남도 하동군
하동청학 미나리 판매 행사,경상남도 하동군 횡천면 남산리 일원,2024-03-01,2024-03-31,먹거리축제+판매,하동청학미나리작목,하동청학미나리작목,,,https://www.hadong.go.kr/02641/02652/02805.web,,,경상남도 하동군 남산리 189,,,2024-11-14,5440000,경상남도 하동군
제26회 화개장터벚꽃축제,경상남도 하동군 화개면 그린나래광장,2024-03-22,2024-03-24,벚꽃축제+공연+경연+판매,화개면 청년회,화개장터벚꽃축제추진위원회,경상남도 하동군청,055-880-2493,https://www.hadong.go.kr/02641/02652/02807.web,,,경상남도 하동군 화개면 탑리 576,,,2024-11-14,5440000,경상남도 하동군
제27회 하동야생차문화축제,경상남도 하동군 화개면 일대,2024-05-11,2024-05-15,전시+교역+이벤트+체험+교육+여가+관광(다원+다실 등),(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,055-880-2734,https://www.hadong.go.kr/02641/02652/02809.web,,경상남도 하동군 화개면 쌍계로 571-25,,,,2024-11-14,5440000,경상남도 하동군
